recipe_id,user_id,rating,liked,review,date
278406,386585,5,1,"This is a great variation on the classic Reuben sandwich.  Instead of the tartness of sauerkraut, the sweet and tangy cole slaw mixture was a nice change.  It is also really easy to make, and I will definitely be having this again (and without the guilt of a regular Reuben)!  Thanks for posting, 2Bleu.  Made for Please Review My Recipe Tag Game.",2008-09-29
278406,27443,5,1,"If you like Reubens this is a must to try!  I can not say enough about this sandwich. Just thinking about it makes my mouth water. I made it as an open face, thus eliminating the calories etc of 1 slice of bread. Thanks for sharing your revision.",2008-01-15
278406,803511,5,1,"Great Reuben variation!  I liked making the coleslaw/sauerkraut myself.  I added an extra handful of cabbage into the pot because it was cooking down so much it didn't look like enough for two sandwiches.  When I put the sandwiches together I only ended up using about 2/3 of the meat and 1/2 the cheese called for.  I shredded cheese off a block instead of using slices.  Lastly, I just can't give up my usual Reuben sauce (mayo, chili sauce, horseradish) so we subbed that for the mayo/mustard suggested in your recipe.  I think overall using less cheese and meat brought this ""lighter"" Reuben down even farther!  Made for PRMR Tag Game.",2009-06-26
92154,149342,3,0,Cook time on the broiling is a little long-- the ends of the legs got slightly burned.  Also a little more Old Bay seasoning (2Tbs) is a little tastier.  ,2004-07-05
92154,223979,5,1,Very good!  I love soft shell crabs and always have them in the freezer.  I followed the other reviewers advice about the Old Bay seasoning.  I added a tablespoon to the flour.  They turned out great!  Thanks!,2009-01-12
194799,197788,4,1,This was tasty! I left out the zucchini as we don't like it. The only problem I had was I didn't have a lid for my cast iron skillet so I just put tinfoil over it.,2007-06-13
278617,62264,5,1,Wonderful recipe! Cut 2 whole breasts from a bird into strips & proceded as directed. Doubled sauce & added about a teaspoon of fennel seed. Got pulled away from stove so added a cup of chardonnay & let simmer after step 7. Added 1/2 cup fresh chopped Italian parsley a couple of minutes before plating. Served as suggested with rigatoni. Otstanding piquant gently tempered by the balsamic vinegar. I can't wait to make with garden fresh tomatoes & basil w/o interruption this summer. Thank you Alotizzi for a real keeper!,2008-05-15
229794,428885,5,1,"Made this for lunch, and let me tell you, if I could, I could eat this everyday. Happened to have chutney that needed using up, and had everything else on hand too. The bacon and shaved smoked salmon  coupled with the onion and cream cheese and chives just make an absolute terrific sandwich! I can see that you can also serve this on toast points and maybe the addition of cucumber too. Thanks so much English Rose! ZWT3 07'",2007-06-04
229794,128473,5,1,What a great sandwich.  I adored all the flavors and textures in this treat.  The mango chutney was a real nice addition.  I will be making these again often.  Thanks for sharing :),2010-05-03
229794,286566,5,1,"One of the best open sandwiches I have had just loved the whole lot though would like to try it toasting the bread otherwise would not make any changes whatsoever thank you English_Rose, made for Name that Ingredient tag game.",2013-10-19
236801,270370,5,1,"My Italian stepfather used to make these and i have been dying to figure out how to do them since he is gone now.  Wow, yummy, and so much thanks for the recipe:)",2009-01-20
212669,204024,5,1,"This fudge recipe is great. It is very smooth and creamy. I would definitely make this again. Thanks for a good recipe. Made for Fall PAC 07

Added.  My DH took this to his work.  His boss and boss wife thought it was the best fudge they had ever had.  Boss Wife is very picky.  Boss wants my to give wife the recipe.",2007-10-14
106241,49304,5,1,"Very good,I made 2 large onions made them just like the recipe stated. We really enjoyed them with Swordfish and a big salad. We love the syrupie balsamic sauce over the onion. Thank you Mermaidmagic, for the recipe.",2005-01-17
106241,37449,5,1,"I halved the recipe because it was just for me, but I wish I had made the full recipe, this was so good! I loved the intense taste of the reduced balsamic vienegar! Thanks mermaid!  :)",2005-02-18
106241,52543,5,1,"If you love balsamic vinegar, this is a must try! Its also quick & easy. Thanx mermaidmagic!",2005-03-05
232088,136997,5,1,"Interesting cookie. Very crisp, which I don't mind. I was only able to use 1 1/2 cups of chocolate chips and I assumed the directions meant 6 cups of whole potato chips before crushing. I used Ms Vickie's, which are my favorite. :)",2009-06-17
232088,831774,5,1,"These cookies intrigue me. First of all i added about 8 ounces of crushed ruffle chips.. and 4 ounces semi sweet choc chips.  When i first tasted the dough, i didnt think i liked the nutmeg. I used a cookie scoop and baked them without switching for 12 minutes (perfect) and as said they turn out very thin and flat. But this turned out to make them crisp on the outside and soft and REALLY good in the middle. And after they were baked i found that i do like the nutmeg, although i would like to try it without out. It gives them almost a bit of a toffee hint in them ? however weird this was this recipe turned out to be VERY goood !",2010-05-15
232088,2198343,4,1,Interesting recipe. We made the mistake of making these way too big. We&#039;ll know to scoop less batter next time!  We also used less chocolate chips that the recipe called for.  We thought they were too many.,2014-12-03
87861,198754,5,1,"I love Greek food, but I had never made it at home, so I went on a search for good, well written recipes that were thorough.  This one definitely measured up.  

Lamb is strong tasting, but this recipe has a lot of ""zingy"" ingredients that seem to tame the lamb and make it incredibly flavorful. I used a little extra lemon, so I added breadcrumbs from one slice of bread to help bind the meat mixture.
 
I also blended the ground lamb with all the ingredients in a food processor before putting it on the skewers.  It gave it a more ""pressed"" texture like gyros look on spits in Greek restaurants. 

Since you can't sample raw meat to make sure you've gotten enough salt and spices; I sautéed a small meatball to taste before grilling.  

I prepared the suggested tzatziki sauce (80959) which was thick and yummy, and also made baked Greek (garlic) lemon potatoes (451) which were fantastic!  I also highly recommend using recipe (59898) for Greek-style salad dressing.  It has traditional ingredients, plus feta and buttermilk.  My kitchen was a complete mess, but the entire meal was delicious!


",2005-02-26
87861,62562,4,1,"The flavors in this dish are exquisite! We loved it 5 stars for flavor and enjoyment! Even my 2 & 4yo grandsons devoured them. I only gave 4 stars because I had to add about a cup of breadcrumbs for binder to get them to hold together well enough to grill. And even then they barely hung on until they were cooked enough not to fall through the grill. Otherwise I followed the recipe exactly as written. 
Next time I make these (and there will be a next time) I will add the bread crumbs and just form elongated patties. The meat didn't want to stay on the skewers anyway, it was just too soft of a mixture.
We used all the suggested toppings and I highly recommenmd the za'atar. Thanks Lorie for a very delicious meal!!!",2008-03-29
355,623266,5,1,"This is my husband's favorite apple crisp recipe.  He doesn't like apple crisp made with oats so I thought this was perfect ... and he agreed!  I omit the salt if I use salted butter.  Also, it takes approximately 8-10 apples to fill a 9 x 13 dish.",2008-02-14
355,4796,5,1,I was looking for a recipe to use up some of these apples someone gave me and I came upon this recipe - I was a little skeptical (sounded too easy to be good) - IT WAS TERRIFIC! Thanks!,2002-10-10
355,50575,4,1,This recipe is every mother's dream for something quick and good. Pair it with ice cream.,2002-10-14
355,37471,5,1,Simple to make....yummy to eat! Thanks much for the recipe!,2002-10-15
355,172169,4,1,Great and simple. Amazing how healthy food can taste good too ;-),2004-11-30
355,311258,5,1,I use this recipe for our little community center lunch occassionally and it goes over very well. Thanks for a great easy and delicious dessert,2006-04-25
355,141453,4,1,"A little sweet for my liking, but delicious nonetheless.",2007-04-25
355,587978,5,1,"This was very yummy!  Eating it as I type this, all hot and gooey.  Thanks for the recipe.  I used 6 large granny smiths, and it filled a 13x9 pan quite nicely.",2009-10-04
355,463763,0,0,:),2010-01-07
219720,284897,5,1,"Such a wondeful and easy addition to add when roasting chicken. I found that the chicken seemed a little more succulent and tender. The chicken had a fantastic light Lemoney taste through it.
For just a few extra minutes work  beforehand, you get such a wonderful and great tasting roast chicken. Who would of thought something so easy could make such a difference!!
Great recipe **Jubes**. This is my new way of roasting chicken!!! Thanks.",2007-11-04
219720,65502,5,1,This is very tasty! I made as directed except that I BBQ'd this on the rotisserie. I really liked the simplicity and moistness of this. I had this with mixed veggies and Recipe #263392. Very very good! Made for the No-Nonsense Nibblers for ZWT6. Thanks ***Jubes***! :),2010-06-19
219720,195589,5,1,"We enjoyed this very much. I did add some Lawry's Seasoning Salt. It was moist and delicious! Thanks for posting, Jubes.
Made for ZWt 6.",2010-06-21
34903,463202,4,1,"We really enjoyed this!  I loved having a good tasting curry that was cooked in the oven (no curry yellow to clean off of the stove).  This was easy to prepare and had a nice balance of flavors.  DH asked me to keep the recipe for the sauce.  I wish I could give this 5 stars, but picky picky DD didn't like it, and it is listed as a kid-pleaser.  The adults all thought it was great!",2007-04-24
470895,653438,5,1,This is such a rich and delicious dish...next time I might try using half-n-half but I made as instructed.  Sent DH out to grill the chicken while I made this and a green salad.  I love this dish.  Thank you for posting this recipe and it is going into my Favorites of 2012.  Made for Fall PAC 2012.,2012-11-06
201699,222055,4,1,These are really good. I really loved the crunch! I took pics but they didn't turn out. Thank you for the different type of peanut butter balls. They were very much worth the try!,2007-03-05
201699,545825,5,1,I first tried these at a church cookie exchange.  They are fantastic.  My kids love them and love to help make them.  Can't beat that with a stick.,2008-10-26
316804,545717,5,1,"I've been waiting a long time for this recipe.
Your photos helped the process. Thank you for your time and effort on this endeavor. YUM!",2008-08-03
316804,415934,2,0,"This didn't work for me.  I was pretty disappointed in this recipe.  The rolls didn't rise well so they were pretty dense.  I felt like they needed a little more salt.

I followed the recipe exactly so I didn't use a greased pan (though I had a little inner argument about whether or not I should since I'm not a complete baking newbie) -- needless to say, half of each roll had to be soaked off the baking sheet.",2008-08-25
46448,35526,5,1,"I had to peel the shrimp to get the veins out, lol.  I used 3 tablespoons of garlic.  Great flavor but bad breath.  I only cooked about 20 minutes because my shrimps were not hugh and the shells were off.  ",2003-03-14
46448,1206102,5,1,"Almost identical to one I use all the time!  I use the large shrimp, however.  How right you are about the messy aspect---I NEVER serve this one anywhere but our OUTDOOR dining table, with a roll of paper towels at either end of the table!  You're right about the bread to ""sop up"" those delicious juices.  And we love fresh boiled corn to go along with the shrimp.  MMM!",2009-10-18
30799,86520,3,0,I made this with semi-sweet chocolate chips and walnuts. I halved the recipe. I used pure choc. chips but I found the finished product rather bitter. I also used unsalted nuts. Maybe with salted nuts and milk chocolate chips I would have found this tastier. ,2004-01-06
220946,205555,5,1,A wonderful change from regular and garlic smashed potatos. This is a rich but fresh tasting dish. The basil and parmesan added both fresh and sharp flavor notes. Everyone liked this so much that this is going to be the 'new' comfort dish around here. A 'keeper' recipe!,2007-04-08
220946,8688,5,1,"Sharon, these potatoes are wonderful!  So easy to do in the oven.  The roasting of the red potatoes seems to give this recipes lots of added flavor!  I will enjoy preparing this again!  Thanks, Sharon : )",2007-04-10
220946,111291,5,1,"YUMMMMM .... these are absolutely delicious!!  If there were 6 stars, I'd rate it that!  Simple to make but taste gourmet, like you've spent a long time in the kitchen. I'm not a huge garlic fan, so I cut down on the amount a bit, but still awesome!!  Thanks for a keeper recipe!",2007-04-22
220946,384041,5,1,"Absolutely delicious!

I had the first pinchings from my basil crop to use. Mmmmm.

The only thing I'll do differently next time will be to double the parmensan.

This made a great side for a family meal, but I wouldn't hestitate to put it in front of even the most special guests.",2007-05-18
220946,141293,5,1,"Wonderful potatoes.  Not as creamy as some mashed, but with loads of flavor.  Excellent with Recipe #89251 and sliced tomatoes with blue cheese.",2007-08-23
220946,227024,5,1,"Used a whole bag of baby red potatoes for this one, (which I think was 2 lbs.???)  Didn't change anything else though, and they came out perfectly!  This is my new mashed potato recipe, that's for sure!  Can't wait to try it out on guests.  Thanks Sharon123 for sharing this one.",2008-02-13
220946,47559,5,1,"I didn't have the fresh basil, so I made these without it.  They were delicious and DS asked me to make them again just like the first batch.  One of these days I want to try it with the basil!  Great recipe.",2009-02-03
220946,139475,5,1,"Was wary about the roasting method at first for some reason, but it added a depth that boiled smashed potatoes just don't have!  Yummy. Yummy.  I also added a tablespoon of sour cream and served with sour cream on the side as well, which everyone liked.  Thanks for this wonderfully different recipe!",2009-10-19
220946,175492,5,1,"Ohhhhh darn it anyway, I want to give this recipe at least 10 stars!  I made this with the last of the red potatoes harvested from my garden, I didn't have any fresh basil so used 1 TBLS dried basil instead, otherwise made exactly per the recipe.  These are so doggone good, and they barely made it to the table before they were gone.  This from a household that would rather eat pasta or rice, quite the compliment.  Will make these often and am saving it to my Sides Cookbook.  Made for KK's Chefs Pick Event.",2010-02-09
220946,1105991,5,1,"These were sooo good! My little family loved the potatoes made this way. Thanks, Sharon!",2010-02-14
220946,65502,5,1,Very yummy! I made this as directed but with about 18 small potatoes. Easy and oh so good! We had this with pork tenderloin and corn. I really liked the fresh basil in this. Made for Kittencal's Chef's Pick tag. Thanks Sharon! :),2010-02-14
220946,936601,5,1,"These potatoes went perfectly with leftover Recipe #151068 for Hot Beef Sandwiches.  Delicious!  Thank you Sharon!  I will be making these potatoes again!
Made for KK's Chef's Pick Tag",2010-02-19
220946,89831,5,1,"I made these quite a while ago but somehow forgot to rate them I am giving this recipe what it deserves 5 stars all the way, I love the addition of the fresh chopped basil and garlic, thank you for posting Sharon!",2010-02-21
220946,157425,5,1,"We loved these potatoes! I did use a bit more butter and parmesan cheese, minced garlic, and kosher salt. The basil adds a nice fresh flavor and the parmesan cheese a little kick. Nice side dish to serve for company too. Will make these again Sharon....thank you for sharing hon! Made and reviewed for Kittencals's Chef's Pick Tag Game.",2010-02-27
